AD_Org_ID[Name],Value,Name,Description,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZLastEnrolmentDate,ZZLastAchievementDate,ZZQualityAssuranceBody,ZZQualificationType,ZZNewRegistrationStartDate,ZZNewRegistrationEndDate,ZZNewLastEnrolmentDate,ZZNewLastAchievementDate,ZZLkpOfoOccupation_ID[Description],ZZMinimumElectiveCredits,IsActive,_ERROR_
*,23624,National Certificate Diesel Mechanic ,,,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1105,0,Y,""
*,23625,National Certificate: Electrical,,,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1165,0,Y,""
*,23626,National Certificate Fitting and Turning ,,,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1090,0,Y,""
*,23627,National Certificate Fitting (Including Machining) ,,,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1102,0,Y,""
*,23628,National Certificate: Instrumentation Mechanician,,,99,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1174,0,Y,""
*,23813,National Certificate Rigger Ropesman,,,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1079,0,Y,""
*,21841,National Certificate in Winding Engine Driving,,,127,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1396,0,Y,""
*,21844,National Certificate in Jewellery Manufacture in a Production Environment,,,159,2005-08-03 00:00:00.000,2008-08-23 00:00:00.000,2013-08-23 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,21846,National Certificate in Diamond Processing Operator,,,120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,2012-08-23 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,21814,National Certificate in Engineering Maintenance and Repairing for Underground Coal Mining,,,148,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,49,0,Y,""
*,21845,Further Education and Training Certificate in  Diamond Processing: Polisher - Crossworker,,,351,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,21812,National certificate in Mining Operations: Underground Coal ,,,120,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,49,0,Y,""
*,21815,National Certificate in Engineering Maintenance for Underground Hard Rock (Metalliferous) ,,,120,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,49,0,Y,""
*,21843,National Certificate in Diamond Processing: Polisher - Brillianteer,,,323,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,21842,National Certificate: Surface Mining Rockbreaking ,,,147,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,49045,National Certificate in Lump Ore Beneficiation (L2),,,163,2004-12-02 00:00:00.000,2007-12-02 00:00:00.000,2008-12-02 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,48804,"National Certificate Occupational Safety, Hygiene and Environment ",,,135,2007-08-07 00:00:00.000,2010-08-07 00:00:00.000,2011-08-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,50063,Further Education and Training Certificate in  Occupational Safety (Version1),,,145,2008-10-20 00:00:00.000,2011-10-20 00:00:00.000,2012-10-20 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,58248,National Certificate in Laboratory Practice,,,120,2007-06-27 00:00:00.000,2010-06-27 00:00:00.000,2011-06-27 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,102,0,Y,""
*,48696,National Certificate  Measurement  Control and Instrumentation ,,,175,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1112,0,Y,""
*,35927,Further Education and Training Certificate in  Payroll Administration Services,,,153,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,48695,National Certificate Measurement Control and Instrumentation,,,137,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1112,0,Y,""
*,21811,National Certificate: Introduction to Mining and Minerals V2,,,120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,2009-08-23 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,35926,National Certificate in Payroll Administration Services,,,240,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,48914,National Certificate in  Associate General Accountant,,,547,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,22860,Further Education and Training Certificate in Autotronics,,,135,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,22858,National Certificate Autotronics,,,128,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,48912,National Certificate in  Chartered Accountant Financial Management,,,698,2006-07-01 00:00:00.000,2009-07-01 00:00:00.000,2010-07-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,24493,National Certificate in  Management,,,120,2006-05-02 00:00:00.000,2009-05-02 00:00:00.000,2010-05-02 00:00:00.000,2024-01-01 00:00:00.000,,,1900-01-01 00:30:00.000,1900-01-01 00:30:00.000,1900-01-01 00:30:00.000,1900-01-01 00:30:00.000,NULL,0,Y,""
*,13716,National Certificate Professional Driving,,,120,2003-12-03 00:00:00.000,2006-12-03 00:00:00.000,2007-12-03 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,22671,National Certificate in Construction Masonry,,,120,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,21853,National Certificate: Construction Plumbing,,,159,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,22670,National Certificate: Construction Carpentry,,,120,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,24273,National Certificate: Community House Building,,,124,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,22490,National Certificate General Security Practice,,,124,2005-11-01 00:00:00.000,2008-11-01 00:00:00.000,2009-11-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,21854,Further Education and Training Certificate in Use of Firearms,,,155,2005-11-01 00:00:00.000,2008-11-01 00:00:00.000,2009-11-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,13739,"Further Education and Training Certificate in Occupation-directed Education, Training and Developmen",,,126,2000-10-11 00:00:00.000,2003-10-11 00:00:00.000,2004-10-11 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,15541,National Certificate in Abet Practice,,,120,2007-12-07 00:00:00.000,2010-12-07 00:00:00.000,2011-12-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,12037,National Certificate in Education: Training and Development,,,128,2006-01-07 00:00:00.000,2009-01-07 00:00:00.000,2010-01-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,20838,Further Education and Training Certificate in   ABET Practice,,,120,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,49091,National Certificate in Furniture Making Wood,,,125,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,49105,National Certificate Furniture Making Wood,,,122,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,49092,Further Education and Training Certificate in Furniture Making Specialism,,,155,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,23255,National Certificate Mechanical Engineering Fitting and Machining,,,174,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1102,0,Y,""
*,49046,National Certificate in Lump Ore Beneficiation (L3),,,120,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,49049,Further Education and Training Certificate in Lump Ore Beneficiation,,,135,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,49044,"National Certificate in Mineral Processing, Gold Extraction",,,124,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,57121,National Certificate in Rockbreaking: Quarrying,,,120,2006-12-11 00:00:00.000,2009-12-11 00:00:00.000,2010-12-11 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,58186,National Certificate in Sulphuric Acid Production,,,134,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,2011-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,58226,National Certificate in Sulphuric Acid Production,,,166,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,2011-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,58228,Further Education and Training Certificate in Sulphuric Acid Production,,,146,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,2011-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,50082,Further Education and Training Certificate in  Minerals Surveying,,,148,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,528,0,Y,""
*,48972,National Certificate: Plant Production,,,120,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,21839,National Certificate In Mining Operations Underground Hardrock Narrow Tabular (Version1),,,159,2002-06-12 00:00:00.000,2005-06-12 00:00:00.000,2006-06-12 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,21840,National Certificate in Rockbreaking Underground Hardrock Narrow Tabular (Version1),,,140,2002-06-12 00:00:00.000,2005-06-12 00:00:00.000,2006-06-12 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,14115,National Certificate in Fast Food Services,,,138,2007-08-07 00:00:00.000,2010-08-07 00:00:00.000,2011-08-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,23654,National Certificate in Generic Management,,,120,2006-05-02 00:00:00.000,2012-06-30 00:00:00.000,2013-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,23656,Further Education and Training Certificate in Management,,,140,2006-03-14 00:00:00.000,2009-03-14 00:00:00.000,2010-03-14 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,58274,Further Education and Training Certificate in Jewellery Setting Processes,,,146,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1117,0,Y,""
*,22859,National Certificate in Autotronics,,,140,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,48918,Further Education and Training Certificate in Measurement Control and Instrumentation,,,120,2007-08-07 00:00:00.000,2010-08-07 00:00:00.000,2011-08-07 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1112,0,Y,""
*,50309,Further Education and Training Certificate: Environmental Practice,,,140,2006-04-20 00:00:00.000,2009-04-20 00:00:00.000,2010-04-20 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,49596,National Certificate: Radiation Monitoring,,,120,2008-06-24 00:00:00.000,2011-06-24 00:00:00.000,2012-06-24 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,57692,Further Education and Training Certificate: Carbonate Materials Manufacturing Processes,,,159,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1444,0,Y,""
*,57876,Further Education and Training Certificate: Jewellery Manufacturing Operations,,,150,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1272,0,Y,""
*,57875,Further Education and Training Certificate: Jewellery Designing,,,146,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1117,0,Y,""
*,60295,Further Education and Training Certificate: Electro-Mechanics: Mining and Minerals,,,171,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1167,0,Y,""
*,58267,General Education and Training Certificate: Mining and Minerals Processes,,,120,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,60293,National Certificate: Electro-Mechanics: Mining and Minerals,,,166,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
*,60294,National Certificate: Electro-Mechanics: Mining and Minerals,,,141,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1167,0,Y,""
*,2663/05,Continous Processes: Chemical Operations,,,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,2011-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,Y,""
